employee_id,skill_id,proficiency,source
EMP022,SK015,4,synthetic-self-assessment
EMP022,SK037,1,synthetic-self-assessment
EMP022,SK005,0,synthetic-self-assessment
EMP022,SK039,3,synthetic-self-assessment
EMP022,SK031,1,synthetic-self-assessment
EMP022,SK010,2,synthetic-self-assessment
EMP022,SK001,5,synthetic-self-assessment
EMP023,SK011,3,synthetic-self-assessment
EMP023,SK009,2,synthetic-self-assessment
EMP023,SK006,4,synthetic-self-assessment
EMP023,SK007,4,synthetic-self-assessment
EMP023,SK003,4,synthetic-self-assessment
EMP023,SK032,1,synthetic-self-assessment
EMP023,SK034,1,synthetic-self-assessment
EMP023,SK033,1,synthetic-self-assessment
EMP024,SK022,5,synthetic-self-assessment
EMP024,SK015,1,synthetic-self-assessment
EMP024,SK005,3,synthetic-self-assessment
EMP024,SK027,4,synthetic-self-assessment
EMP024,SK026,1,synthetic-self-assessment
EMP024,SK018,0,synthetic-self-assessment
EMP024,SK010,2,synthetic-self-assessment
EMP024,SK019,4,synthetic-self-assessment
EMP024,SK020,1,synthetic-self-assessment
EMP025,SK009,3,synthetic-self-assessment
EMP025,SK021,1,synthetic-self-assessment
EMP025,SK024,2,synthetic-self-assessment
EMP025,SK005,0,synthetic-self-assessment
EMP025,SK026,0,synthetic-self-assessment
EMP025,SK018,0,synthetic-self-assessment
EMP025,SK019,4,synthetic-self-assessment
EMP025,SK001,3,synthetic-self-assessment
EMP025,SK020,4,synthetic-self-assessment
EMP026,SK011,4,synthetic-self-assessment
EMP026,SK038,0,synthetic-self-assessment
EMP026,SK015,3,synthetic-self-assessment
EMP026,SK016,4,synthetic-self-assessment
EMP026,SK012,1,synthetic-self-assessment
EMP026,SK013,3,synthetic-self-assessment
EMP026,SK018,3,synthetic-self-assessment
EMP026,SK017,3,synthetic-self-assessment
EMP026,SK037,0,synthetic-self-assessment
EMP027,SK011,2,synthetic-self-assessment
EMP027,SK015,4,synthetic-self-assessment
EMP027,SK034,0,synthetic-self-assessment
EMP027,SK039,1,synthetic-self-assessment
EMP027,SK016,4,synthetic-self-assessment
EMP027,SK012,4,synthetic-self-assessment
EMP027,SK013,5,synthetic-self-assessment
EMP027,SK018,3,synthetic-self-assessment
EMP027,SK017,3,synthetic-self-assessment
EMP028,SK011,3,synthetic-self-assessment
EMP028,SK029,2,synthetic-self-assessment
EMP028,SK015,3,synthetic-self-assessment
EMP028,SK023,4,synthetic-self-assessment
EMP028,SK028,3,synthetic-self-assessment
EMP028,SK031,2,synthetic-self-assessment
EMP028,SK030,5,synthetic-self-assessment
EMP028,SK012,1,synthetic-self-assessment
EMP029,SK011,1,synthetic-self-assessment
EMP029,SK009,2,synthetic-self-assessment
EMP029,SK036,1,synthetic-self-assessment
EMP029,SK038,0,synthetic-self-assessment
EMP029,SK035,0,synthetic-self-assessment
EMP029,SK034,2,synthetic-self-assessment
EMP029,SK037,0,synthetic-self-assessment
EMP029,SK033,0,synthetic-self-assessment
EMP030,SK006,2,synthetic-self-assessment
EMP030,SK038,2,synthetic-self-assessment
EMP030,SK040,3,synthetic-self-assessment
EMP030,SK028,2,synthetic-self-assessment
EMP030,SK016,0,synthetic-self-assessment
EMP030,SK032,2,synthetic-self-assessment
EMP030,SK037,0,synthetic-self-assessment
EMP030,SK033,4,synthetic-self-assessment
